name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity
BD+63 1405 b,124,3.96 Jupiters,8.96,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7869/bd63-1405-b/,Gas Giant,2021,3.96 Jupiters,1.16 x Jupiter,2.06 AU,3.3 years,0.88
Beta Cancri b,290,7.8 Jupiters,3.51012,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7039/beta-cancri-b/,Gas Giant,2014,7.8 Jupiters,1.12 x Jupiter,1.7 AU,1.7 years,0.08
Beta Pictoris b,64,11 Jupiters,3.85,2008,https://exoplanets.nasa.gov//exoplanet-catalog/7040/beta-pictoris-b/,Gas Giant,2008,11 Jupiters,1.65 x Jupiter,9.1 AU,21 years,0.08
Beta Pictoris c,64,9 Jupiters,3.85,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7461/beta-pictoris-c/,Gas Giant,2019,9 Jupiters,1.12 x Jupiter,2.7 AU,3.3 years,0.24
Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7041/beta-ursae-minoris-b/,Gas Giant,2014,6.1 Jupiters,1.14 x Jupiter,1.4 AU,1.4 years,0.19
CD Ceti b,28,3.95 Earths,13.95,2020,https://exoplanets.nasa.gov//exoplanet-catalog/8025/cd-ceti-b/,Super Earth,2020,3.95 Earths,1.82 x Earth,0.0185 AU,2.3 days,0.0
CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011,https://exoplanets.nasa.gov//exoplanet-catalog/6567/cfbdsir-j145829101343-b/,Gas Giant,2011,10.5 Jupiters,1.11 x Jupiter,2.6 AU,27.5 years,0.0
CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7861/cfhtwir-oph-98-b/,Gas Giant,2021,7.8 Jupiters,1.86 x Jupiter,200.0 AU,22027.4 years,0.0
CHXR 73 b,621,12.569 Jupiters,17.2934,2006,https://exoplanets.nasa.gov//exoplanet-catalog/6568/chxr-73-b/,Gas Giant,2006,12.569 Jupiters,1.1 x Jupiter,210.0 AU,5146.9 years,0.0
CI Tauri b,515,11.6 Jupiters,13.642,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7422/ci-tauri-b/,Gas Giant,2019,11.6 Jupiters,1.11 x Jupiter,Unknown,9 days,0.25
